French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
